on_off_ed,on_off_pred
264.6,265.8
192.4,200.4
153.4,150.4
44.7,48.6
40.5,50.9
39.1,36.8
33.9,35.6
33.8,37.8
32.2,34.5
29.3,39.6
29.1,39.7
24.8,29.8
24.1,20.4
23.3,29.9
17.7,10.4
13.1,18.9
9.4,9.4
8.5,12.5
7.4,10.7
6.4,12.3
3.3,3.6
2,3.3
1.5,4.5
1.1,1.9
292,297.5
279.6,281.3
265.3,270.5
253,253.6
219.8,225.5
213.3,214.4
200.8,205.4
194.4,200
181.2,182.3
169.9,174.4
155.3,160.4
124.7,128.6
123.2,129.7
122.6,126.7
115.1,120.2
103.5,107.6
101.9,97.5
86.6,90.3
83.1,
75.2,
74.8,
72.6,
68.2,
67.3,
66.9,
63.1,
63,
62,
59.4,
58.5,
57.1,
53.9,
53.4,
52.7,
51,
48.7,
48.6,
48.3,
42.4,
41.5,
41.4,
39.6,
38.7,
38.2,
37.6,
37.3,
36.8,
36.4,
33.3,
32.7,
30.2,
30,
29.4,
27.4,
26.2,
24.9,
24.5,
23.9,
22.8,
22.5,
22.3,
22,
21,
19.9,
19.7,
19.5,
18.8,
18.7,
18.6,
18.4,
18.4,
18,
18,
17.4,
17.2,
16.9,
16.9,
16.9,
16.6,
16.2,
16.1,
16,
15.7,
15.2,
13.6,
12.7,
12.4,
12.2,
11.4,
11,
10.3,
9.9,
9.8,
9.7,
9.6,
9,
8.9,
8.9,
8.7,
8.4,
8.1,
7.7,
7.3,
6.8,
6,
5.9,
5.8,
5.1,
4.7,
4.5,
4.5,
3.8,
3.7,
3.2,
3.1,
2.9,
2.9,
2.6,
2.6,
2.2,
2.1,
2,
2,
1.9,
1.9,
1.9,
1.9,
1.6,
1.4,
1.3,
1.3,
1.2,
1.2,
1.2,
1.2,
1.1,
1.1,
1.1,
1,
1,
0.9,
0.9,
0.9,
0.6004,
665,
586,
557,
483,
453,
409,
403,
393,
381,
343,
292,
288,
33,
